Threat Intelligence Aggregator Report
=============================================

Generated on: 2026-05-25 14:14:30.029250
Total indicators collected: 50

 source indicator_type                                                                                                                                                                             indicator          date_added      threat confidence
URLhaus  malicious_url                                                                                                 https://vzjahpug.telemetry-sphere.digital/?ublib=213bbe95-e609-4ec2-9534-c8fb76842fad 2026-05-25 08:39:07 malware_url       high
URLhaus  malicious_url                                                                                                                        https://blaold.indebud.hu/62dae79e-0693-4df3-9fec-ff4c8aefef69 2026-05-25 08:34:06 malware_url       high
URLhaus  malicious_url                                                                                                                                                         http://115.55.240.120:55688/i 2026-05-25 08:18:21 malware_url       high
URLhaus  malicious_url                                                                                                                                                            http://115.55.4.97:47059/i 2026-05-25 08:16:19 malware_url       high
URLhaus  malicious_url                                                                                                                                                          http://110.36.24.131:55599/i 2026-05-25 08:13:22 malware_url       high
URLhaus  malicious_url                                                                                                                                                          http://110.37.76.196:41780/i 2026-05-25 08:11:20 malware_url       high
URLhaus  malicious_url                                                                                                                                                     http://110.37.76.196:41780/bin.sh 2026-05-25 08:09:12 malware_url       high
URLhaus  malicious_url                                                                                                                      https://kzaftq.hyflowtp.com/15b5f96b-6db2-415e-825a-f98dd945a571 2026-05-25 08:08:06 malware_url       high
URLhaus  malicious_url                                                                                                                                                     http://110.36.24.131:55599/bin.sh 2026-05-25 07:46:28 malware_url       high
URLhaus  malicious_url                                                                                                         https://xredgj.holisztikuscsontkovacs.hu/9c1efa92-bd04-4855-929f-e3065e0763f0 2026-05-25 07:44:06 malware_url       high
URLhaus  malicious_url                                                                                                                                                       http://115.55.4.97:47059/bin.sh 2026-05-25 07:39:21 malware_url       high
URLhaus  malicious_url                                                                                                                                                          http://110.37.90.172:35917/i 2026-05-25 07:38:24 malware_url       high
URLhaus  malicious_url                                                                                                                                                    http://115.55.240.120:55688/bin.sh 2026-05-25 07:28:16 malware_url       high
URLhaus  malicious_url                                                                                                                                                         http://222.137.147.26:55499/i 2026-05-25 07:27:30 malware_url       high
URLhaus  malicious_url                                                                                                               https://torrrj.highlife-global.com/0853bebb-e0f8-49fe-b456-4a5c7c27ff47 2026-05-25 07:20:10 malware_url       high
URLhaus  malicious_url                                                                                                                                                          http://115.55.170.20:55190/i 2026-05-25 07:16:23 malware_url       high
URLhaus  malicious_url                                                                                                                                                        https://zealpraxis.com/8761886 2026-05-25 07:13:20 malware_url       high
URLhaus  malicious_url https://cdn.discordapp.com/attachments/1468318468066640095/1508156566145073306/porno.exe?ex=6a1483c1&is=6a133241&hm=2404f64778201a5dbd5a5c88603594bbed4f5b5768daf7fe4cc3073b2545f81a& 2026-05-25 07:12:08 malware_url       high
URLhaus  malicious_url                                                                                                                  http://91.92.242.236/files-129312398/files/file_96624d70aef25b2e.exe 2026-05-25 07:12:05 malware_url       high
URLhaus  malicious_url                                                                                                                  http://91.92.242.236/files-129312398/files/file_aa3f5de9b1a43312.exe 2026-05-25 07:12:05 malware_url       high
